ant_id,support_id,operateur,generation,bande_mhz,systeme,statut,ant_lat,ant_lon,commune,code_insee,dist_ligne_km
726603,1670665,SFR,5G,2100,5G NR 2100,Techniquement opérationnel,45.815555555555555,3.5491666666666664,Le Busset,63151,5.650634058182814
726604,1670665,SFR,2G,900,GSM 900,En service,45.815555555555555,3.5491666666666664,Le Busset,63151,5.650634058182814
726605,1670665,SFR,4G,1800,LTE 1800,En service,45.815555555555555,3.5491666666666664,Le Busset,63151,5.650634058182814
726606,1670665,SFR,4G,2100,LTE 2100,En service,45.815555555555555,3.5491666666666664,Le Busset,63151,5.650634058182814
726607,1670665,SFR,4G,800,LTE 800,En service,45.815555555555555,3.5491666666666664,Le Busset,63151,5.650634058182814
726608,1670665,SFR,3G,900,UMTS 900,En service,45.815555555555555,3.5491666666666664,Le Busset,63151,5.650634058182814
726612,1670673,SFR,2G,900,GSM 900,En service,45.63138888888889,3.580833333333333,Chantozet,63132,6.16625622431684
726613,1670673,SFR,4G,800,LTE 800,En service,45.63138888888889,3.580833333333333,Chantozet,63132,6.16625622431684
726614,1670673,SFR,3G,900,UMTS 900,En service,45.63138888888889,3.580833333333333,Chantozet,63132,6.16625622431684
726662,1671068,SFR,5G,2100,5G NR 2100,Techniquement opérationnel,45.83083333333334,3.500277777777778,,63276,7.936454450426363
726663,1671068,SFR,2G,900,GSM 900,En service,45.83083333333334,3.500277777777778,,63276,7.936454450426363
726664,1671068,SFR,4G,1800,LTE 1800,En service,45.83083333333334,3.500277777777778,,63276,7.936454450426363
726665,1671068,SFR,4G,2100,LTE 2100,En service,45.83083333333334,3.500277777777778,,63276,7.936454450426363
726666,1671068,SFR,4G,800,LTE 800,En service,45.83083333333334,3.500277777777778,,63276,7.936454450426363
726667,1671068,SFR,3G,900,UMTS 900,En service,45.83083333333334,3.500277777777778,,63276,7.936454450426363
726668,1671075,SFR,2G,900,GSM 900,En service,45.8,3.6175,La Vieille,63469,7.4523081763762535
726669,1671075,SFR,4G,1800,LTE 1800,En service,45.8,3.6175,La Vieille,63469,7.4523081763762535
726670,1671075,SFR,4G,2100,LTE 2100,En service,45.8,3.6175,La Vieille,63469,7.4523081763762535
726671,1671075,SFR,4G,800,LTE 800,En service,45.8,3.6175,La Vieille,63469,7.4523081763762535
726672,1671075,SFR,3G,2100,UMTS 2100,En service,45.8,3.6175,La Vieille,63469,7.4523081763762535
726673,1671075,SFR,3G,900,UMTS 900,En service,45.8,3.6175,La Vieille,63469,7.4523081763762535
726674,1671084,SFR,2G,900,GSM 900,En service,45.57277777777778,3.793333333333333,Bunangues,63003,5.120362842576037
726675,1671084,SFR,4G,1800,LTE 1800,En service,45.57277777777778,3.793333333333333,Bunangues,63003,5.120362842576037
726676,1671084,SFR,4G,2100,LTE 2100,En service,45.57277777777778,3.793333333333333,Bunangues,63003,5.120362842576037
726677,1671084,SFR,4G,800,LTE 800,En service,45.57277777777778,3.793333333333333,Bunangues,63003,5.120362842576037
726678,1671084,SFR,3G,2100,UMTS 2100,En service,45.57277777777778,3.793333333333333,Bunangues,63003,5.120362842576037
726679,1671084,SFR,3G,900,UMTS 900,En service,45.57277777777778,3.793333333333333,Bunangues,63003,5.120362842576037
727598,1678616,SFR,2G,900,GSM 900,En service,45.736111111111114,3.558611111111111,Le Montel,63125,1.8183078432675586
727599,1678616,SFR,4G,800,LTE 800,En service,45.736111111111114,3.558611111111111,Le Montel,63125,1.8183078432675586
727600,1678616,SFR,3G,900,UMTS 900,En service,45.736111111111114,3.558611111111111,Le Montel,63125,1.8183078432675586
735891,1731381,SFR,2G,900,GSM 900,En service,45.55555555555555,3.7822222222222224,Les Roches de Goure,63003,3.731332603809943
735892,1731381,SFR,4G,800,LTE 800,En service,45.55555555555555,3.7822222222222224,Les Roches de Goure,63003,3.731332603809943
735893,1731381,SFR,3G,900,UMTS 900,En service,45.55555555555555,3.7822222222222224,Les Roches de Goure,63003,3.731332603809943
745118,1822488,SFR,4G,700,LTE 700,En service,45.67916666666667,3.4925,LAIRE,63334,4.8810805367714165
745119,1822488,SFR,4G,800,LTE 800,En service,45.67916666666667,3.4925,LAIRE,63334,4.8810805367714165
