point_id,lat,lon,distance_km,altitude_m,precipitation_mm_h,precipitation_p95_mm_h,temperature_c,windspeed_kmh,humidity_pct,cloudcover_pct
157,45.353379,3.63478,15.6409,908.5,0.1064,0.5891,10.4062,9.5348,73.9017,62.8454
158,45.352482,3.634688,15.7409,912.0,0.1062,0.5871,10.3992,9.5429,73.8839,62.8355
159,45.351612,3.634997,15.8406,913.0,0.106,0.5851,10.3922,9.551,73.866,62.8256
160,45.35077,3.635447,15.9406,918.7,0.1057,0.5831,10.3851,9.5592,73.8482,62.8157
161,45.349964,3.635999,16.0401,911.6,0.1055,0.5812,10.3781,9.5673,73.8304,62.8058
162,45.349212,3.636703,16.1402,916.6,0.1053,0.5792,10.371,9.5754,73.8125,62.7958
163,45.348464,3.637411,16.2401,928.6,0.105,0.5772,10.364,9.5835,73.7947,62.7859
164,45.347715,3.63812,16.3401,933.6,0.1048,0.5752,10.357,9.5917,73.7768,62.776
165,45.347006,3.638901,16.4398,919.8,0.1046,0.5732,10.3499,9.5998,73.759,62.7661
166,45.346527,3.639963,16.5384,922.6,0.1043,0.5713,10.343,9.6078,73.7414,62.7563
167,45.346152,3.641119,16.6379,927.6,0.1041,0.5693,10.336,9.6159,73.7236,62.7464
168,45.345549,3.642056,16.7372,928.7,0.1039,0.5673,10.329,9.624,73.7059,62.7366
169,45.344814,3.642786,16.8369,932.6,0.1036,0.5653,10.322,9.6321,73.6881,62.7267
170,45.344048,3.643455,16.9368,931.7,0.1034,0.5634,10.3149,9.6402,73.6702,62.7168
171,45.343216,3.643912,17.036,932.7,0.1032,0.5614,10.3079,9.6483,73.6525,62.7069
172,45.342324,3.644077,17.136,942.5,0.103,0.5594,10.3009,9.6565,73.6346,62.697
173,45.341451,3.64437,17.2357,941.5,0.1027,0.5574,10.2939,9.6646,73.6168,62.6871
174,45.340645,3.644923,17.3352,935.9,0.1025,0.5554,10.2868,9.6727,73.599,62.6772
175,45.339915,3.645669,17.4351,947.2,0.1023,0.5535,10.2798,9.6808,73.5812,62.6673
176,45.339223,3.646486,17.5351,960.5,0.102,0.5515,10.2728,9.6889,73.5633,62.6574
177,45.338532,3.647304,17.6351,960.9,0.1018,0.5495,10.2657,9.6971,73.5455,62.6475
178,45.337856,3.648148,17.7351,952.2,0.1016,0.5475,10.2587,9.7052,73.5276,62.6376
179,45.337287,3.649129,17.8345,955.8,0.1013,0.5455,10.2517,9.7133,73.5098,62.6277
180,45.336956,3.650314,17.9342,964.9,0.1011,0.5436,10.2446,9.7214,73.492,62.6178
181,45.336973,3.65158,18.0332,964.3,0.1009,0.5416,10.2377,9.7295,73.4743,62.608
182,45.337295,3.652771,18.1329,963.8,0.1006,0.5396,10.2306,9.7376,73.4565,62.5981
183,45.337656,3.653942,18.2328,967.6,0.1004,0.5376,10.2236,9.7457,73.4387,62.5882
184,45.338017,3.655114,18.3328,968.1,0.1002,0.5356,10.2165,9.7539,73.4208,62.5782
185,45.338378,3.656286,18.4328,972.6,0.0999,0.5337,10.2095,9.762,73.403,62.5683
186,45.338711,3.657475,18.5328,976.4,0.0997,0.5317,10.2025,9.7701,73.3851,62.5584
187,45.338826,3.658743,18.6327,983.9,0.0995,0.5297,10.1954,9.7783,73.3672,62.5485
188,45.338884,3.660018,18.7326,987.6,0.0992,0.5277,10.1884,9.7864,73.3494,62.5386
189,45.338886,3.661297,18.8326,981.2,0.099,0.5257,10.1813,9.7945,73.3315,62.5286
190,45.338881,3.662576,18.9326,970.2,0.0988,0.5237,10.1743,9.8027,73.3137,62.5187
191,45.338856,3.663855,19.0326,955.9,0.0985,0.5218,10.1672,9.8108,73.2958,62.5088
192,45.338611,3.66508,19.1321,957.5,0.0983,0.5198,10.1602,9.8189,73.278,62.4989
193,45.338167,3.666191,19.232,967.2,0.0981,0.5178,10.1532,9.827,73.2602,62.489
194,45.337647,3.667227,19.3315,975.1,0.0979,0.5158,10.1462,9.8351,73.2424,62.4791
195,45.33694,3.668013,19.4313,979.3,0.0976,0.5138,10.1391,9.8433,73.2246,62.4692
196,45.336197,3.668734,19.5313,981.4,0.0974,0.5119,10.1321,9.8514,73.2067,62.4593
197,45.335416,3.669364,19.6311,984.6,0.0972,0.5099,10.1251,9.8595,73.1889,62.4494
198,45.334615,3.669948,19.7312,982.5,0.0969,0.5079,10.118,9.8677,73.171,62.4394
199,45.333756,3.670312,19.8309,976.1,0.0967,0.5059,10.111,9.8758,73.1532,62.4295
200,45.332872,3.670248,19.9293,970.6,0.0965,0.504,10.104,9.8838,73.1356,62.4198
201,45.332075,3.669668,20.0288,974.4,0.0962,0.502,10.097,9.8919,73.1178,62.4099
202,45.331274,3.669092,20.1286,988.6,0.096,0.5,10.09,9.9,73.1,62.4
203,45.330407,3.668766,20.2283,992.6,0.096,0.5,10.0821,9.9,73.099,62.4
204,45.329535,3.668999,20.327,992.2,0.096,0.5,10.0742,9.9,73.098,62.4
205,45.328829,3.66977,20.426,991.7,0.096,0.5,10.0663,9.9,73.097,62.4
206,45.328346,3.670847,20.5259,993.6,0.096,0.5,10.0584,9.9,73.096,62.4
207,45.327924,3.671976,20.6259,997.8,0.096,0.5,10.0504,9.9,73.0951,62.4
208,45.327519,3.673118,20.7259,999.3,0.096,0.5,10.0425,9.9,73.0941,62.4
209,45.327091,3.674243,20.8259,998.3,0.096,0.5,10.0345,9.9,73.0931,62.4
210,45.326546,3.67526,20.9259,999.2,0.096,0.5,10.0266,9.9,73.0921,62.4
211,45.326038,3.676312,21.0257,1009.8,0.096,0.5,10.0186,9.9,73.0911,62.4
212,45.325636,3.677454,21.1255,1019.5,0.096,0.5,10.0107,9.9,73.0901,62.4
213,45.325501,3.67871,21.2248,1021.5,0.096,0.5,10.0028,9.9,73.0891,62.4
214,45.325765,3.679911,21.3232,1018.7,0.096,0.5,9.995,9.9,73.0881,62.4
215,45.326352,3.680869,21.4225,1016.1,0.096,0.5,9.9871,9.9,73.0871,62.4
216,45.327026,3.681714,21.5224,1014.6,0.096,0.5,9.9791,9.9,73.0861,62.4
217,45.327751,3.68246,21.6219,1017.3,0.096,0.5,9.9712,9.9,73.0852,62.4
218,45.328612,3.682791,21.7211,1024.9,0.096,0.5,9.9633,9.9,73.0842,62.4
219,45.329509,3.68286,21.821,1036.8,0.096,0.5,9.9554,9.9,73.0832,62.4
220,45.330401,3.682989,21.9207,1034.5,0.096,0.5,9.9475,9.9,73.0822,62.4
221,45.331224,3.683474,22.0198,1030.8,0.096,0.5,9.9396,9.9,73.0812,62.4
222,45.331858,3.684363,22.1188,1020.9,0.096,0.5,9.9317,9.9,73.0802,62.4
223,45.332161,3.685556,22.218,1020.5,0.096,0.5,9.9238,9.9,73.0792,62.4
224,45.332065,3.68681,22.3166,1027.6,0.096,0.5,9.916,9.9,73.0782,62.4
225,45.331624,3.687916,22.416,1039.7,0.096,0.5,9.9081,9.9,73.0773,62.4
226,45.330957,3.688767,22.5156,1048.3,0.096,0.5,9.9001,9.9,73.0763,62.4
227,45.330192,3.689439,22.6156,1049.2,0.096,0.5,9.8922,9.9,73.0753,62.4
228,45.329641,3.690428,22.7142,1053.7,0.096,0.5,9.8843,9.9,73.0743,62.4
229,45.329363,3.69164,22.8139,1050.3,0.096,0.5,9.8764,9.9,73.0733,62.4
230,45.329247,3.692908,22.9139,1050.1,0.096,0.5,9.8684,9.9,73.0723,62.4
231,45.329052,3.694153,23.0136,1053.7,0.096,0.5,9.8605,9.9,73.0713,62.4
232,45.328668,3.695302,23.1131,1055.6,0.096,0.5,9.8526,9.9,73.0703,62.4
233,45.328156,3.696351,23.2129,1057.1,0.096,0.5,9.8447,9.9,73.0693,62.4
234,45.327608,3.697365,23.3129,1059.4,0.096,0.5,9.8367,9.9,73.0683,62.4
235,45.327024,3.698338,23.4129,1060.6,0.096,0.5,9.8288,9.9,73.0673,62.4
236,45.326357,3.699182,23.5122,1060.0,0.096,0.5,9.8209,9.9,73.0664,62.4
237,45.325535,3.699688,23.6118,1062.5,0.096,0.5,9.8129,9.9,73.0654,62.4
238,45.324672,3.700046,23.7118,1065.5,0.096,0.5,9.805,9.9,73.0644,62.4
239,45.32379,3.700272,23.8115,1070.5,0.096,0.5,9.7971,9.9,73.0634,62.4
240,45.322891,3.700303,23.9115,1074.0,0.096,0.5,9.7891,9.9,73.0624,62.4
241,45.321997,3.700227,24.0111,1073.8,0.096,0.5,9.7812,9.9,73.0614,62.4
242,45.321123,3.699942,24.1108,1073.1,0.096,0.5,9.7732,9.9,73.0604,62.4
243,45.32032,3.69938,24.2103,1074.7,0.096,0.5,9.7653,9.9,73.0594,62.4
244,45.319528,3.698775,24.3103,1076.4,0.096,0.5,9.7574,9.9,73.0584,62.4
245,45.318716,3.698232,24.4101,1079.7,0.096,0.5,9.7494,9.9,73.0574,62.4
246,45.317866,3.697812,24.5102,1084.5,0.096,0.5,9.7415,9.9,73.0564,62.4
247,45.317007,3.697433,24.6102,1086.2,0.096,0.5,9.7335,9.9,73.0554,62.4
248,45.316112,3.697333,24.71,1086.9,0.096,0.5,9.7256,9.9,73.0544,62.4
249,45.315228,3.697537,24.8096,1086.9,0.096,0.5,9.7177,9.9,73.0535,62.4
250,45.314375,3.69794,24.9095,1091.3,0.096,0.5,9.7097,9.9,73.0525,62.4
251,45.313521,3.698342,25.0095,1093.6,0.096,0.5,9.7018,9.9,73.0515,62.4
252,45.312665,3.698733,25.1095,1093.0,0.096,0.5,9.6938,9.9,73.0505,62.4
253,45.311792,3.699017,25.2091,1087.7,0.096,0.5,9.6859,9.9,73.0495,62.4
254,45.310895,3.699092,25.309,1085.2,0.096,0.5,9.6779,9.9,73.0485,62.4
255,45.309996,3.699057,25.409,1085.0,0.096,0.5,9.67,9.9,73.0475,62.4
256,45.309102,3.698934,25.5089,1085.9,0.096,0.5,9.662,9.9,73.0465,62.4
257,45.308212,3.69875,25.6089,1087.8,0.096,0.5,9.6541,9.9,73.0455,62.4
258,45.307322,3.698565,25.7089,1090.4,0.096,0.5,9.6461,9.9,73.0445,62.4
259,45.306432,3.698381,25.8089,1091.3,0.096,0.5,9.6382,9.9,73.0435,62.4
260,45.305542,3.698196,25.9089,1090.3,0.096,0.5,9.6302,9.9,73.0425,62.4
261,45.304652,3.698014,26.0089,1088.6,0.096,0.5,9.6223,9.9,73.0415,62.4
262,45.303761,3.697841,26.1089,1085.3,0.096,0.5,9.6143,9.9,73.0405,62.4
263,45.30287,3.697669,26.2089,1082.1,0.096,0.5,9.6064,9.9,73.0395,62.4
264,45.301979,3.697496,26.3089,1082.2,0.096,0.5,9.5984,9.9,73.0386,62.4
265,45.301088,3.697323,26.4089,1084.9,0.096,0.5,9.5904,9.9,73.0376,62.4
266,45.300197,3.697151,26.5089,1084.6,0.096,0.5,9.5825,9.9,73.0366,62.4
267,45.299298,3.697168,26.6089,1083.6,0.096,0.5,9.5745,9.9,73.0356,62.4
268,45.298399,3.697199,26.7089,1087.6,0.096,0.5,9.5666,9.9,73.0346,62.4
269,45.297505,3.697327,26.8088,1089.7,0.096,0.5,9.5586,9.9,73.0336,62.4
270,45.296613,3.697483,26.9087,1089.3,0.096,0.5,9.5507,9.9,73.0326,62.4
271,45.29572,3.697639,27.0087,1088.5,0.096,0.5,9.5427,9.9,73.0316,62.4
272,45.294826,3.697771,27.1086,1086.4,0.096,0.5,9.5348,9.9,73.0306,62.4
273,45.293931,3.697896,27.2086,1081.5,0.096,0.5,9.5268,9.9,73.0296,62.4
274,45.29304,3.698075,27.3087,1083.0,0.096,0.5,9.5189,9.9,73.0286,62.4
275,45.292209,3.69853,27.4077,1082.6,0.096,0.5,9.511,9.9,73.0276,62.4
276,45.291473,3.699251,27.5071,1087.7,0.096,0.5,9.5031,9.9,73.0266,62.4
277,45.290862,3.700186,27.6069,1091.3,0.096,0.5,9.4952,9.9,73.0256,62.4
278,45.290268,3.701146,27.7069,1099.1,0.096,0.5,9.4872,9.9,73.0247,62.4
279,45.289727,3.702167,27.8069,1096.9,0.096,0.5,9.4792,9.9,73.0237,62.4
