point_id,longitude,latitude
227,3.6643958,45.6459814
228,3.6650507,45.6451473
229,3.6659729,45.6446199
230,3.6669957,45.6443087
231,3.6680425,45.6440953
232,3.6691048,45.6442249
233,3.6701231,45.6445427
234,3.6710352,45.6450997
235,3.6719066,45.6457200
236,3.6727616,45.6463636
237,3.6736401,45.6469703
238,3.6746142,45.6473960
239,3.6756698,45.6474520
240,3.6767377,45.6474722
241,3.6777794,45.6472866
242,3.6787282,45.6468094
243,3.6795319,45.6461090
244,3.6803400,45.6454169
245,3.6813111,45.6449757
246,3.6823511,45.6447520
247,3.6834177,45.6447377
248,3.6844584,45.6449607
249,3.6854611,45.6453328
250,3.6864522,45.6457346
251,3.6874815,45.6460242
252,3.6885448,45.6461305
253,3.6896127,45.6462006
254,3.6906804,45.6462726
255,3.6917478,45.6463498
256,3.6928162,45.6464112
257,3.6938850,45.6464652
258,3.6949527,45.6464078
259,3.6960196,45.6463246
260,3.6970676,45.6461375
261,3.6980852,45.6458064
262,3.6990904,45.6454413
263,3.7001447,45.6452578
264,3.7012024,45.6450961
265,3.7022620,45.6449469
266,3.7033107,45.6447371
267,3.7042897,45.6443136
268,3.7051377,45.6436710
269,3.7056709,45.6427533
270,3.7057917,45.6416908
271,3.7058675,45.6406233
272,3.7060020,45.6395642
273,3.7064855,45.6386203
274,3.7072021,45.6378346
275,3.7080587,45.6371931
276,3.7089029,45.6365357
277,3.7097783,45.6359217
278,3.7104926,45.6351323
279,3.7108720,45.6341484
280,3.7106404,45.6331267
281,3.7100494,45.6322368
282,3.7095121,45.6313318
283,3.7094362,45.6302703
284,3.7098951,45.6293142
285,3.7106764,45.6285996
286,3.7116580,45.6281734
287,3.7126315,45.6277319
